행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101058,종로구,교남동,02,55,219 ,55 ,4 ,6 ,3 ,4 ,1 ,1 ,6 ,4 ,5 ,5 
1101058,종로구,교남동,02,60,209 ,44 ,4 ,5 ,3 ,3 ,3 ,1 ,4 ,3 ,2 ,2 
1101058,종로구,교남동,02,65,168 ,79 ,4 ,9 ,8 ,7 ,4 ,0 ,8 ,7 ,7 ,8 
1101058,종로구,교남동,02,70,118 ,63 ,8 ,14 ,1 ,8 ,4 ,0 ,10 ,6 ,4 ,4 
1101058,종로구,교남동,02,75,194 ,113 ,12 ,11 ,6 ,10 ,3 ,0 ,10 ,10 ,10 ,11 
1101060,종로구,가회동,01,20,121 ,46 ,9 ,5 ,15 ,9 ,0 ,2 ,19 ,0 ,4 ,4 
1101060,종로구,가회동,01,25,116 ,32 ,5 ,3 ,5 ,4 ,3 ,4 ,3 ,4 ,2 ,2 
1101060,종로구,가회동,01,30,153 ,40 ,9 ,5 ,1 ,3 ,0 ,8 ,4 ,4 ,4 ,5 
1101060,종로구,가회동,01,35,164 ,52 ,15 ,6 ,7 ,4 ,3 ,7 ,7 ,2 ,3 ,3 
1101060,종로구,가회동,01,40,204 ,40 ,7 ,5 ,4 ,4 ,9 ,4 ,6 ,4 ,3 ,4 
1101060,종로구,가회동,01,45,180 ,28 ,4 ,5 ,2 ,4 ,4 ,4 ,3 ,1 ,2 ,2 
1101060,종로구,가회동,01,50,159 ,22 ,4 ,2 ,1 ,2 ,5 ,1 ,5 ,2 ,4 ,4 
1101060,종로구,가회동,01,55,149 ,19 ,3 ,4 ,2 ,2 ,7 ,1 ,3 ,2 ,1 ,1 
1101060,종로구,가회동,01,60,137 ,18 ,1 ,3 ,1 ,2 ,0 ,1 ,2 ,2 ,1 ,1 
1101060,종로구,가회동,01,65,117 ,37 ,4 ,2 ,6 ,3 ,2 ,0 ,5 ,1 ,2 ,2 
1101060,종로구,가회동,01,70,70 ,24 ,4 ,3 ,0 ,4 ,0 ,0 ,4 ,2 ,0 ,0 
1101060,종로구,가회동,01,75,131 ,38 ,2 ,2 ,6 ,2 ,4 ,1 ,3 ,2 ,4 ,4 
1101060,종로구,가회동,02,20,93 ,27 ,5 ,2 ,2 ,2 ,0 ,5 ,1 ,1 ,2 ,3 
1101060,종로구,가회동,02,25,161 ,36 ,7 ,5 ,1 ,4 ,5 ,6 ,5 ,4 ,4 ,5 
1101060,종로구,가회동,02,30,180 ,44 ,4 ,3 ,3 ,2 ,0 ,8 ,2 ,8 ,4 ,4 
1101060,종로구,가회동,02,35,177 ,41 ,3 ,8 ,0 ,5 ,8 ,5 ,3 ,3 ,4 ,4 
1101060,종로구,가회동,02,40,229 ,40 ,4 ,7 ,4 ,6 ,10 ,3 ,5 ,4 ,4 ,4 
1101060,종로구,가회동,02,45,189 ,33 ,1 ,5 ,2 ,4 ,0 ,3 ,3 ,3 ,0 ,0 
1101060,종로구,가회동,02,50,186 ,41 ,6 ,8 ,1 ,4 ,9 ,1 ,5 ,5 ,4 ,5 
1101060,종로구,가회동,02,55,175 ,24 ,3 ,3 ,1 ,4 ,12 ,1 ,3 ,1 ,2 ,2 
1101060,종로구,가회동,02,60,183 ,33 ,4 ,6 ,0 ,6 ,5 ,1 ,6 ,3 ,1 ,1 
1101060,종로구,가회동,02,65,136 ,40 ,3 ,7 ,0 ,6 ,0 ,0 ,7 ,6 ,3 ,4 
1101060,종로구,가회동,02,70,124 ,46 ,5 ,7 ,0 ,12 ,3 ,0 ,7 ,2 ,4 ,4 
1101060,종로구,가회동,02,75,189 ,59 ,7 ,10 ,3 ,14 ,5 ,0 ,9 ,5 ,2 ,2 
1101061,종로구,종로1·2·3·4가동,01,20,222 ,222 ,49 ,31 ,45 ,60 ,6 ,4 ,61 ,17 ,36 ,38 
1101061,종로구,종로1·2·3·4가동,01,25,370 ,370 ,34 ,75 ,66 ,97 ,15 ,15 ,72 ,72 ,80 ,85 
1101061,종로구,종로1·2·3·4가동,01,30,349 ,313 ,67 ,76 ,59 ,74 ,23 ,14 ,81 ,45 ,43 ,46 
1101061,종로구,종로1·2·3·4가동,01,35,314 ,271 ,65 ,59 ,32 ,62 ,21 ,11 ,72 ,30 ,21 ,23 
